region,c,iso,region_map
Middle East/Africa,Algeria,DZA,Algeria
South America,Argentina,ARG,Argentina
South Asia,Australia,AUS,Australia
Europe,Austria,AUT,Austria
Europe,Belgium,BEL,Belgium
South America,Bolivia,BOL,Bolivia
South America,Brazil,BRA,Brazil
North America,Canada,CAN,Canada
South America,Chile,CHL,Chile
Greater China,China,CHN,China
South America,Colombia,COL,Colombia
Europe,Czechia,CZE,Czech Republic
Europe,Denmark,DNK,Denmark
Europe,Eastern Europe/Central Asia,REA,NA
Middle East/Africa,Egypt,EGY,Egypt
Middle East/Africa,Ethiopia,ETH,Ethiopia
Europe,Finland,FIN,Finland
Europe,France,FRA,France
Europe,Germany,DEU,Germany
Europe,Greece,GRC,Greece
Europe,Hungary,HUN,Hungary
South Asia,India,IND,India
South Asia,Indonesia,IDN,Indonesia
Middle East/Africa,Iran,IRN,Iran
Europe,Ireland,IRL,Ireland
Middle East/Africa,Israel,ISR,Israel
Europe,Italy,ITA,Italy
Japan/Korea,Japan,JPN,Japan
Middle East/Africa,Kenya,KEN,Kenya
South Asia,Malaysia,MYS,Malaysia
North America,Mexico,MEX,Mexico
Middle East/Africa,Morocco,MAR,Morocco
Europe,Netherlands,NLD,Netherlands
South Asia,New Zealand,NZL,New Zealand
Middle East/Africa,Nigeria,NGA,Nigeria
Europe,Norway,NOR,Norway
South Asia,Pakistan,PAK,Pakistan
South America,Peru,PER,Peru
South Asia,Philippines,PHL,Philippines
Europe,Poland,POL,Poland
Europe,Portugal,PRT,Portugal
Europe,Rest of EU,REU,NA
Middle East/Africa,Rest of Middle East/Africa,RMA,NA
South America,Rest of South America,RSA,NA
South Asia,Rest of South Asia/Oceania,RAO,NA
Europe,Romania,ROU,Romania
Europe,Russia,RUS,Russia
Middle East/Africa,Saudi Arabia,SAU,Saudi Arabia
South Asia,Singapore,SGP,Singapore
Europe,Slovakia,SVK,Slovakia
Middle East/Africa,South Africa,ZAF,South Africa
Japan/Korea,South Korea,KOR,South Korea
Europe,Spain,ESP,Spain
Europe,Sweden,SWE,Sweden
Europe,Switzerland,CHE,Switzerland
Greater China,Taiwan,TWN,Taiwan
South Asia,Thailand,THA,Thailand
Europe,Turkey,TUR,Turkey
Middle East/Africa,United Arab Emirates,ARE,United Arab Emirates
Europe,United Kingdom,GBR,UK
North America,United States,USA,USA
South America,Uruguay,URY,Uruguay
South America,Venezuela,VEN,Venezuela
South Asia,Vietnam,VNM,Vietnam
Europe,Western Europe non EU,WEU,NA
